,ci_test_results,z_test_results,z_test_p_values,mean_diff
293,True,False,0.2182,0.9
294,True,False,0.275,1.4
295,True,False,0.6025,1.0
296,True,False,0.3835,1.7
297,False,True,0.0,-15.7
298,False,True,0.0019,-3.7
299,True,False,0.8346,-0.3
300,False,True,0.0,-8.4
301,True,False,0.4983,-0.2
302,True,False,0.2467,1.1
303,True,False,0.4545,0.4
304,False,True,0.0,-135.8
305,True,False,0.7739,0.4
306,True,False,0.8993,-0.1
307,False,True,0.0029,-2.9
308,True,False,0.0512,-1.2
309,True,False,0.1724,2.2
310,True,False,0.8146,-0.5
311,True,False,0.9587,0.1
312,False,True,0.0001,-6.4
313,True,False,0.8635,-0.3
314,True,False,0.4879,-0.8
315,True,False,0.2217,-1.7
316,False,True,0.0,7.2
317,False,True,0.0,-159.1
318,True,True,0.0211,-2.2
319,True,False,0.3417,1.3
320,True,True,0.0425,2.7
321,False,True,0.0009,-7.1
322,True,False,0.6089,-0.7
323,False,True,0.0,24.5
324,False,True,0.0,-31.4
325,True,False,0.0933,2.7
326,True,True,0.0113,-5.6
327,True,False,0.1,4.1
328,True,False,0.1903,1.7
329,False,True,0.0,-7.4
330,True,False,0.5742,1.0
331,True,False,0.2857,2.6
332,True,False,0.4265,0.8
333,True,False,0.1208,1.6
334,True,False,0.8613,0.4
335,False,True,0.001,-6.6
336,True,False,0.1057,2.8
337,False,True,0.0,-10.6
338,True,False,0.9727,0.0
339,False,True,0.0069,2.8
340,True,False,0.1493,-1.8
341,True,False,0.5372,-0.4
342,True,False,0.4233,0.7
343,True,True,0.0106,-3.8
344,True,False,0.2211,1.7
345,True,False,0.3518,-0.8
346,True,False,0.0513,-6.1
347,True,False,0.0822,-2.6
348,True,False,0.1641,-1.0
349,True,False,0.2215,2.6
350,False,True,0.0,-5.3
351,True,False,0.1545,1.6
352,True,False,0.2749,-2.1
353,True,False,0.5512,0.6
354,True,False,0.2946,-1.2
355,True,False,0.1603,-3.3
356,True,False,0.095,4.2
357,True,False,0.5436,0.4
358,False,True,0.0068,-3.7
359,False,True,0.01,-4.1
360,True,False,0.6147,-0.2
361,False,True,0.0005,1.3
362,False,True,0.0,-77.3
363,True,False,0.0835,1.3
364,True,True,0.0078,-5.3
365,True,False,0.6368,-0.6
366,False,True,0.0,-4.4
367,True,False,0.4922,1.6
368,True,False,0.3164,-2.0
369,True,False,0.1091,3.2
370,True,False,0.3628,-0.9
371,True,False,0.5137,-9.5
372,True,False,0.3914,0.9
373,True,True,0.0229,-1.9
374,True,False,0.3479,0.5
375,False,True,0.0004,-1.8
376,True,False,0.9315,-0.1
377,False,True,0.0019,4.6
378,True,True,0.0082,-7.4
379,True,False,0.3585,1.6
380,True,False,0.3752,-1.4
381,True,False,0.2184,2.0
382,True,False,0.3498,1.2
383,True,False,0.5631,-1.3
384,True,False,0.2717,-0.9
385,True,True,0.0207,3.1
386,True,False,0.2695,-2.1
387,True,False,0.4197,0.7
388,True,False,0.2033,3.5
389,True,False,0.6135,0.7
390,True,False,0.3868,-3.0
391,True,True,0.0192,-3.6
392,True,False,0.5432,0.8
393,True,False,0.3136,1.6
394,True,False,0.4922,-8.8
395,False,True,0.0,18.9
396,True,False,0.7514,0.4
397,True,False,0.7357,-0.3
398,True,False,0.3319,-1.2
399,True,False,0.5883,0.4
400,True,False,0.6603,1.1
401,True,False,0.1529,0.9
402,True,False,0.8475,-0.3
403,True,False,0.1,2.5
404,True,False,0.2091,0.6
405,True,False,0.7399,1.1
406,False,True,0.0,-28.4
407,True,False,0.9589,0.1
408,True,False,0.3666,-1.1
409,True,False,0.8798,0.3
410,True,False,0.2677,-2.0
411,True,False,0.174,-1.5
412,True,False,0.4676,-7.5
413,True,False,0.2695,2.3
414,True,False,0.1645,-2.3
415,False,True,0.0,-30.4
416,True,False,0.5246,0.6
417,True,False,0.0797,-1.8
418,True,False,0.6699,0.3
419,False,True,0.0,-18.7
420,True,False,0.8871,0.1
421,True,False,0.7665,0.2
422,True,False,0.7577,0.4
423,True,False,0.272,0.6
424,True,False,0.5079,-0.4
425,False,True,0.0,-4.5
426,True,True,0.0264,-3.6
427,False,True,0.0,-3.9
428,True,False,0.0742,0.9
429,True,False,0.2138,1.5
430,True,False,0.9683,-0.0
431,True,False,0.262,1.3
432,True,False,0.8052,-0.3
433,True,False,0.6046,-0.4
434,True,False,0.4042,2.0
435,True,False,0.1361,-1.5
436,False,True,0.0,3.1
437,True,False,0.3352,-1.2
438,True,False,0.4347,1.2
439,True,False,0.0673,2.7
440,False,True,0.0008,-2.5
441,False,True,0.0205,1.8
442,True,False,0.774,5.5
443,True,False,0.6725,0.7
444,False,True,0.0,-36.1
445,True,False,0.5577,-0.5
446,False,True,0.0016,-3.3
447,False,True,0.0,-16.5
448,True,False,0.5092,-0.4
449,False,True,0.0,-277.7
450,True,False,0.9736,-0.1
451,True,False,0.9919,0.0
452,False,True,0.0,13.9
453,True,False,0.721,0.5
454,True,False,0.5641,10.2
455,True,False,0.5708,0.6
456,True,False,0.3366,-0.6
457,True,False,0.052,3.4
458,True,False,0.6921,-0.6
459,True,False,0.0841,1.3
460,True,False,0.8788,-0.2
461,False,True,0.0,-8.6
462,True,False,0.6729,0.5
463,True,False,0.8846,-0.2
464,True,False,0.2334,0.9
465,True,False,0.1218,-4.3
466,True,False,0.2015,1.7
467,True,False,0.064,-3.9
468,True,False,0.4467,-0.6
469,False,True,0.0,346.0
470,True,False,0.2671,4.8
471,True,False,0.5343,-0.5
472,True,False,0.9152,-8.1
473,True,False,0.1228,-2.4
474,True,True,0.0438,10.2
475,False,True,0.0,5.5
476,False,True,0.0005,-1.8
477,True,True,0.0106,-6.4
478,True,False,0.3459,1.7
479,True,False,0.9376,-0.1
480,True,False,0.8334,-0.3
481,True,False,0.2351,1.4
482,True,False,0.3735,-1.6
483,True,False,0.1531,1.4
484,True,False,0.0637,-2.2
485,False,True,0.0002,-7.2
486,True,False,0.1074,-1.3
487,True,False,0.1074,-2.6
488,True,False,0.5445,0.8
489,True,False,0.1743,-1.1
490,True,False,0.4538,0.5
491,True,False,0.6451,0.9
492,True,False,0.9773,-0.0
493,True,False,0.177,0.8
494,True,False,0.0811,-4.0
495,False,True,0.0,-5.5
496,True,False,0.7389,-0.8
497,True,False,0.3745,0.4
498,False,True,0.0,-8.3
499,True,False,0.8637,-1.1
500,True,False,0.112,-0.8
501,False,True,0.0,-16.2
502,False,True,0.0,-26.6
503,True,False,0.2198,1.8
504,True,False,0.5229,-0.7
505,True,True,0.0211,3.5
506,True,False,0.8224,-0.1
507,True,False,0.0623,1.9
508,True,False,0.6306,0.7
509,False,True,0.0002,-3.5
510,True,True,0.0064,-4.8
511,True,False,0.2233,2.1
512,False,True,0.0,-20.6
513,True,False,0.8443,0.3
514,True,False,0.2119,-1.3
515,True,False,0.8452,-0.2
516,True,False,0.8273,-0.3
517,True,True,0.041,5.0
518,False,True,0.0036,-2.8
519,True,False,0.2658,1.4
520,True,False,0.9788,-0.0
521,True,False,0.6284,0.4
522,True,False,0.2833,-0.6
523,False,True,0.0006,-6.3
524,True,False,0.4713,-1.4
525,False,True,0.0,-14.4
526,True,False,0.8575,0.1
527,True,False,0.5003,0.8
528,False,True,0.0,-50.0
529,True,False,0.9962,0.0
530,True,True,0.007,-2.5
531,True,False,0.5476,1.3
532,True,True,0.0138,-4.4
533,True,False,0.5044,4.4
534,True,False,0.2134,-1.6
535,True,False,0.7156,-0.4
536,True,False,0.1452,2.6
537,True,False,0.8262,-0.3
538,True,False,0.0511,-8.1
539,False,True,0.0,-21.5
540,False,True,0.0004,-35.9
541,True,False,0.3562,1.0
542,True,False,0.1706,-1.1
543,True,False,0.5539,-0.4
544,True,False,0.9256,-0.1
545,True,False,0.3764,-1.7
546,True,False,0.3058,-1.2
547,True,False,0.6141,-0.8
548,True,False,0.3168,-1.2
549,True,False,0.45,1.5
550,False,True,0.0002,-15.2
551,False,True,0.0,17.2
552,True,False,0.3087,1.0
553,True,False,0.3667,-1.0
554,True,False,0.1811,1.1
555,True,False,0.0896,2.5
556,True,False,0.8734,-0.1
557,True,False,0.8973,0.1
558,False,True,0.0,457.1
559,False,True,0.0,295.7
560,True,False,0.7562,-0.5
561,True,False,0.1994,-1.7
562,True,False,0.5171,1.2
563,True,False,0.1101,2.6
564,True,True,0.0185,-2.6
565,True,False,0.316,-0.6
566,True,False,0.102,-1.9
567,True,False,0.3788,12.1
568,True,False,0.4776,-5.2
569,True,False,0.6085,1.2
570,True,False,0.5389,-0.4
571,True,False,0.9949,-0.0
572,True,False,0.8445,-0.2
573,True,False,0.1309,1.3
574,True,False,0.6667,0.6
575,True,False,0.8622,-0.4
576,True,False,0.1579,-1.7
577,True,False,0.7302,-0.3
578,True,False,0.667,0.2
579,True,False,0.2256,-3.9
580,True,False,0.1717,1.4
581,True,False,0.4856,0.2
582,True,False,0.131,2.0
583,True,False,0.6863,0.4
584,True,False,0.5606,0.9
585,True,False,0.3401,2.2
586,True,False,0.2132,-2.3
587,True,False,0.6974,2.3
588,True,False,0.5204,-1.2
589,False,True,0.0,-40.0
590,False,True,0.0,-14.4
591,True,False,0.2559,-3.1
592,True,False,0.3667,0.4
593,True,False,0.2335,2.5
594,True,False,0.265,-2.2
595,True,False,0.0791,-5.2
596,True,False,0.5063,0.9
597,True,False,0.9787,0.0
598,True,False,0.5119,1.1
599,True,False,0.8429,0.7
600,True,False,0.2172,1.5
601,True,False,0.4726,-0.3
602,True,False,0.1133,-2.0
603,True,False,0.7596,-0.5
604,False,True,0.0,-10.3
605,True,False,0.4844,2.0
606,False,True,0.0,-18.0
607,True,False,0.146,0.4
608,True,False,0.2327,1.0
609,True,False,0.4757,2.8
610,True,False,0.3089,-3.3
611,False,True,0.0,10.8
612,True,False,0.4804,-0.5
613,True,False,0.4289,-0.8
614,True,False,0.2244,2.8
615,False,True,0.0,-47.9
616,True,False,0.3237,-1.7
617,True,False,0.0616,-2.7
618,True,False,0.3496,-1.0
619,True,False,0.1076,6.4
620,True,False,0.5136,2.9
621,True,False,0.6531,0.4
622,False,True,0.0001,-122.6
623,False,True,0.0,-32.9
624,True,False,0.1381,2.2
625,True,True,0.0437,-0.6
626,True,True,0.037,0.6
627,True,False,0.9743,-0.0
628,True,False,0.8242,0.2
629,True,False,0.3807,-1.4
630,True,False,0.2637,-32.6
631,False,True,0.0,9.7
632,True,False,0.2692,1.4
633,True,False,0.2803,3.3
634,True,False,0.2173,1.9
635,True,False,0.8831,0.2
636,True,False,0.0598,-2.3
637,True,False,0.5379,0.7
638,True,False,0.9275,0.1
639,True,False,0.7022,0.6
640,False,True,0.0036,-4.5
641,True,False,0.2138,-0.5
642,True,False,0.7414,-0.4
